year_month,total_reviews,avg_star,pct_positive,pct_negative
2001-08,1,5.0,100.0,0.0
2004-04,1,3.0,0.0,0.0
2005-03,1,3.0,0.0,0.0
2005-05,1,3.0,0.0,0.0
2005-07,1,4.0,100.0,0.0
2005-08,1,5.0,100.0,0.0
2005-09,3,4.33,100.0,0.0
2005-10,1,5.0,100.0,0.0
2005-11,1,4.0,100.0,0.0
2005-12,1,4.0,100.0,0.0
2006-01,4,4.25,100.0,0.0
2006-02,1,5.0,100.0,0.0
2006-03,2,4.0,100.0,0.0
2006-04,3,4.33,66.7,0.0
2006-05,2,5.0,100.0,0.0
2006-06,2,4.5,100.0,0.0
2006-07,7,4.57,100.0,0.0
2006-08,2,5.0,100.0,0.0
2006-09,7,4.43,85.7,14.3
2006-10,7,4.14,85.7,14.3
2006-11,8,4.88,100.0,0.0
2006-12,10,4.6,90.0,0.0
2007-01,10,4.7,90.0,10.0
2007-02,4,4.5,100.0,0.0
2007-03,21,4.57,90.5,4.8
2007-04,22,4.73,90.9,0.0
2007-05,9,4.56,88.9,11.1
2007-06,11,4.45,90.9,9.1
2007-07,15,4.67,93.3,6.7
2007-08,7,4.29,85.7,14.3
2007-09,16,4.5,87.5,6.2
2007-10,15,4.27,73.3,13.3
2007-11,10,4.7,100.0,0.0
2007-12,23,4.3,87.0,8.7
2008-01,25,4.64,92.0,0.0
2008-02,18,4.22,77.8,16.7
2008-03,31,4.55,93.5,3.2
2008-04,15,4.27,80.0,13.3
2008-05,17,4.76,100.0,0.0
2008-06,16,4.56,87.5,0.0
2008-07,31,4.71,93.5,6.5
2008-08,21,4.67,90.5,4.8
2008-09,12,4.33,91.7,8.3
2008-10,28,4.61,89.3,3.6
2008-11,25,4.48,92.0,8.0
2008-12,35,4.46,85.7,5.7
2009-01,21,4.62,95.2,4.8
2009-02,29,4.55,96.6,0.0
2009-03,26,4.81,96.2,3.8
2009-04,34,4.41,85.3,8.8
2009-05,28,4.71,92.9,0.0
2009-06,26,4.69,96.2,3.8
2009-07,27,4.7,96.3,0.0
2009-08,26,4.81,96.2,0.0
2009-09,34,4.59,88.2,2.9
2009-10,27,4.74,96.3,3.7
2009-11,58,4.59,93.1,3.4
2009-12,56,4.64,96.4,0.0
2010-01,46,4.67,91.3,2.2
2010-02,48,4.85,95.8,0.0
2010-03,74,4.64,94.6,1.4
2010-04,53,4.7,94.3,0.0
2010-05,45,4.64,93.3,2.2
2010-06,44,4.75,97.7,0.0
2010-07,62,4.68,93.5,1.6
2010-08,53,4.74,98.1,0.0
2010-09,67,4.73,95.5,0.0
2010-10,58,4.66,94.8,3.4
2010-11,70,4.71,92.9,0.0
2010-12,82,4.54,93.9,1.2
2011-01,66,4.45,89.4,3.0
2011-02,81,4.37,85.2,7.4
2011-03,84,4.63,92.9,1.2
2011-04,114,4.49,89.5,0.9
2011-05,94,4.64,91.5,3.2
2011-06,78,4.62,93.6,2.6
2011-07,104,4.73,93.3,1.9
2011-08,105,4.61,91.4,1.9
2011-09,99,4.8,97.0,0.0
2011-10,111,4.67,93.7,1.8
2011-11,143,4.74,97.2,0.0
2011-12,141,4.52,87.2,5.0
2012-01,132,4.53,88.6,3.0
2012-02,102,4.73,96.1,0.0
2012-03,132,4.4,86.4,3.0
2012-04,137,4.55,90.5,2.2
2012-05,119,4.71,95.8,0.0
2012-06,106,4.72,97.2,0.9
2012-07,154,4.58,91.6,3.2
2012-08,138,4.69,92.8,2.2
2012-09,114,4.73,96.5,0.9
2012-10,159,4.75,95.6,0.6
2012-11,184,4.71,94.0,1.1
2012-12,230,4.74,95.7,0.4
2013-01,209,4.69,93.8,1.0
2013-02,170,4.69,95.9,0.6
2013-03,244,4.64,93.9,0.8
2013-04,230,4.68,94.3,0.4
2013-05,173,4.72,94.8,0.6
2013-06,138,4.75,96.4,0.0
2013-07,215,4.7,94.4,1.4
2013-08,224,4.73,94.6,0.9
2013-09,158,4.79,97.5,0.0
2013-10,238,4.87,97.9,0.0
2013-11,249,4.73,96.8,1.2
2013-12,301,4.69,94.4,1.7
2014-01,335,4.73,94.6,1.2
2014-02,300,4.66,94.3,1.3
2014-03,328,4.76,97.0,0.3
2014-04,357,4.67,94.7,0.6
2014-05,252,4.76,96.8,0.8
2014-06,248,4.7,96.0,2.0
2014-07,292,4.73,94.9,2.1
2014-08,292,4.79,96.9,1.4
2014-09,228,4.76,94.7,0.9
2014-10,294,4.83,99.0,0.0
2014-11,331,4.77,97.0,0.6
2014-12,393,4.69,94.9,0.8
2015-01,417,4.74,94.2,1.0
2015-02,301,4.67,93.7,1.7
2015-03,450,4.69,94.7,1.3
2015-04,441,4.73,95.2,0.7
2015-05,302,4.74,95.7,1.3
2015-06,327,4.76,95.4,1.5
2015-07,420,4.67,93.3,2.6
2015-08,381,4.69,94.2,1.8
2015-09,286,4.73,95.5,1.0
2015-10,295,4.78,96.3,0.3
2015-11,381,4.72,95.3,2.1
2015-12,448,4.68,93.1,1.6
2016-01,479,4.66,91.9,1.0
2016-02,385,4.68,94.5,0.5
2016-03,475,4.64,93.9,2.3
2016-04,401,4.73,95.3,1.2
2016-05,328,4.68,93.6,1.5
2016-06,328,4.69,94.5,0.3
2016-07,414,4.59,90.6,3.1
2016-08,447,4.68,93.7,1.8
2016-09,384,4.68,93.2,2.6
2016-10,415,4.69,94.0,1.7
2016-11,511,4.73,93.7,1.2
2016-12,504,4.7,93.8,1.6
2017-01,466,4.73,94.8,0.9
2017-02,553,4.73,93.9,0.5
2017-03,515,4.71,94.0,0.8
2017-04,500,4.72,95.8,1.0
2017-05,363,4.79,96.7,1.1
2017-06,331,4.73,94.0,2.1
2017-07,406,4.72,94.6,2.5
2017-08,423,4.74,93.6,1.4
2017-09,336,4.77,96.4,1.5
2017-10,381,4.81,97.4,0.8
2017-11,370,4.75,94.3,1.9
2017-12,462,4.81,95.9,1.1
2018-01,476,4.75,95.8,1.5
2018-02,339,4.71,93.8,1.5
2018-03,466,4.67,92.9,2.8
2018-04,409,4.68,93.4,2.0
2018-05,361,4.73,95.6,2.2
2018-06,281,4.76,94.7,2.5
2018-07,368,4.73,95.4,2.4
2018-08,338,4.7,93.5,2.1
2018-09,316,4.82,97.2,1.3
2018-10,410,4.8,96.3,0.7
2018-11,343,4.83,97.7,0.9
2018-12,317,4.71,93.1,2.8
2019-01,383,4.63,91.1,3.7
2019-02,347,4.71,93.7,2.9
2019-03,409,4.74,95.8,2.0
2019-04,414,4.76,94.4,1.4
2019-05,331,4.74,94.3,1.8
2019-06,248,4.82,96.8,1.6
2019-07,332,4.76,95.8,1.5
2019-08,328,4.74,94.5,1.5
2019-09,260,4.79,96.2,1.9
2019-10,285,4.83,97.5,0.7
2019-11,318,4.82,95.9,0.9
2019-12,309,4.81,97.1,0.6
2020-01,270,4.77,95.2,1.9
2020-02,321,4.74,96.3,1.6
2020-03,146,4.72,93.8,2.7
2020-05,14,4.57,85.7,0.0
2020-06,31,4.71,93.5,3.2
2020-07,32,4.66,93.8,3.1
2020-08,4,5.0,100.0,0.0
2020-09,5,4.8,100.0,0.0
2020-10,7,4.71,85.7,0.0
2020-11,4,4.75,100.0,0.0
2020-12,22,4.91,100.0,0.0
2021-01,11,5.0,100.0,0.0
2021-02,8,4.5,75.0,0.0
2021-03,9,4.44,88.9,11.1
2021-04,20,4.85,100.0,0.0
2021-05,11,5.0,100.0,0.0
2021-06,2,5.0,100.0,0.0
2021-07,6,5.0,100.0,0.0
2021-08,4,5.0,100.0,0.0
2021-09,4,5.0,100.0,0.0
2021-10,2,5.0,100.0,0.0
2021-11,3,5.0,100.0,0.0
2021-12,8,5.0,100.0,0.0
2022-01,5,5.0,100.0,0.0
2022-02,13,4.92,100.0,0.0
2022-03,4,5.0,100.0,0.0
2022-04,30,4.87,93.3,0.0
2022-05,29,4.93,100.0,0.0
2022-06,47,4.74,91.5,0.0
2022-07,55,4.58,89.1,3.6
2022-08,73,4.71,93.2,2.7
2022-09,61,4.82,96.7,1.6
2022-10,100,4.83,96.0,3.0
2022-11,114,4.78,96.5,2.6
2022-12,142,4.78,95.1,1.4
2023-01,126,4.87,97.6,0.8
2023-02,167,4.8,95.2,1.8
2023-03,215,4.76,94.0,3.3
2023-04,164,4.83,97.0,1.2
2023-05,118,4.86,97.5,0.8
2023-06,150,4.79,94.7,3.3
2023-07,173,4.85,96.0,0.6
2023-08,309,4.78,95.5,2.6
2023-09,253,4.93,98.8,0.4
2023-10,311,4.89,97.7,1.3
2023-11,370,4.88,97.6,1.4
2023-12,381,4.88,97.4,0.8
2024-01,404,4.85,96.3,2.0
2024-02,327,4.9,97.9,0.6
2024-03,431,4.84,97.4,0.9
2024-04,373,4.88,97.9,0.5
2024-05,343,4.92,98.5,0.9
2024-06,170,4.92,98.2,0.6
2024-07,247,4.85,97.2,0.4
2024-08,228,4.83,96.9,2.2
2024-09,183,4.9,98.9,0.0
2024-10,249,4.9,98.8,0.4
2024-11,312,4.9,98.4,0.6
2024-12,329,4.91,98.8,0.3
2025-01,331,4.88,97.0,1.2
2025-02,331,4.88,98.5,0.9
2025-03,415,4.86,97.1,1.9
2025-04,354,4.88,97.7,0.8
2025-05,176,4.95,98.9,0.6
2025-06,23,4.91,100.0,0.0

